request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,1,329.17295896913856,9.551860444757732,930.9401669888757,server_usage,True,,0.08858402725309134,931.0287510161288,0.08750002598389983,0.08858402725309134,0.0010840012691915035,930.9412509901449
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,1,296.9809169881046,9.8239603177053,915.8904170035385,server_usage,True,,931.1823750031181,1847.0727920066565,931.1783750308678,931.1823750031181,0.003999972250312567,915.8944169757888
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,1,301.60087504191324,9.546225523716577,903.0130830360577,server_usage,True,,1847.3339170450345,2750.347000081092,1847.3193750251085,1847.3339170450345,0.014542019926011562,903.0276250559837
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,1,310.7342909788713,9.3250410161942,898.2118749991059,server_usage,True,,2750.496209017001,3648.708084016107,2750.4925000248477,2750.496209017001,0.003708992153406143,898.2155839912593
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,1,320.9085420239717,9.46218584154156,917.02625004109,server_usage,True,,3648.8505840534344,4565.876834094524,3648.846667027101,3648.8505840534344,0.003917026333510876,917.0301670674235
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,1,336.64150000549853,9.39390277822635,928.4573750337586,server_usage,True,,4566.016709024552,5494.474084058311,4566.012709052302,4566.016709024552,0.003999972250312567,928.4613750060089
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,1,318.6519159935415,9.397076064025955,910.6677080271766,server_usage,True,,5494.607334025204,6405.275042052381,5494.603625033051,5494.607334025204,0.003708992153406143,910.67141701933
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,1,299.7262499993667,9.610644841034498,905.19687498454,server_usage,True,,6405.431250052061,7310.628125036601,6405.417084053624,6405.431250052061,0.014165998436510563,905.2110409829766
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,1,309.83695801114663,9.762748682294928,924.8901249957271,server_usage,True,,7310.78304204857,8235.673167044297,7310.779542021919,7310.78304204857,0.003500026650726795,924.8936250223778
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,1,307.2827909491025,9.544799603255731,908.6051659542136,server_usage,True,,8235.815084015485,9144.420249969698,8235.81154202111,8235.815084015485,0.003541994374245405,908.6087079485878
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,1,321.6320000356063,9.494634919858996,919.7939999867231,server_usage,True,,9144.54075001413,10064.334750000853,9144.537792017218,9144.54075001413,0.0029579969123005867,919.7969579836354
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,1,310.12141599785537,9.611650793221854,915.6554159708321,server_usage,True,,10064.486625022255,10980.142040993087,10064.483042049687,10064.486625022255,0.0035829725675284863,915.6589989433996
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,1,310.8804579824209,9.579083333457154,914.3627079902217,server_usage,True,,10980.41129205376,11894.77400004398,10980.406792019494,10980.41129205376,0.004500034265220165,914.3672080244869
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,1,328.9407089469023,9.509908730193736,928.0649589491077,server_usage,True,,11894.922292034607,12822.987250983715,11894.91829200415,11894.922292034607,0.00400003045797348,928.0689589795657
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,1,297.95100004412234,9.419407412808921,891.3736670510843,server_usage,True,,12823.085292009637,13714.458959060721,12823.082500020973,12823.085292009637,0.0027919886633753777,891.3764590397477
req-000016,qwen2.5:1.5b-instruct,ollama,378,64,1,317.42420804221183,9.386877650358079,908.7975000147708,server_usage,True,,13714.573084027506,14623.370584042277,13714.571292046458,13714.573084027506,0.0017919810488820076,908.7992919958197
req-000017,qwen2.5:1.5b-instruct,ollama,380,64,1,332.7542080078274,9.358899475681403,922.3648749757558,server_usage,True,,14623.578875034582,15545.943750010338,14623.575250036083,14623.578875034582,0.0036249984987080097,922.3684999742545
req-000018,qwen2.5:1.5b-instruct,ollama,383,64,1,330.4949580342509,9.436916000032355,925.0206660362892,server_usage,True,,15546.072209021077,16471.092875057366,15546.06920905644,15546.072209021077,0.0029999646358191967,925.023666000925
req-000019,qwen2.5:1.5b-instruct,ollama,380,64,1,334.89229198312387,9.476755285591242,931.9278749753721,server_usage,True,,16471.20841703145,17403.13629200682,16471.204584056977,16471.20841703145,0.0038329744711518288,931.9317079498433
req-000020,qwen2.5:1.5b-instruct,ollama,380,64,1,331.9884579977952,9.630156095169248,938.6882919934578,server_usage,True,,17403.261709026992,18341.95000102045,17403.258625010494,17403.261709026992,0.0030840164981782436,938.691376009956
req-000021,qwen2.5:1.5b-instruct,ollama,376,64,1,330.5810419842601,9.615822746011887,936.377874983009,server_usage,True,,18342.115584004205,19278.493458987214,18342.112459009513,18342.115584004205,0.0031249946914613247,936.3809999777004
req-000022,qwen2.5:1.5b-instruct,ollama,378,64,1,298.80074999528006,9.517094571261651,898.3777079847641,server_usage,True,,19278.58158404706,20176.959292031825,19278.58029201161,19278.58158404706,0.001292035449296236,898.3790000202134
req-000023,qwen2.5:1.5b-instruct,ollama,375,64,1,301.42712499946356,9.552232142249565,903.2177499611862,server_usage,True,,20177.066459029447,21080.284208990633,20177.063084032852,20177.066459029447,0.003374996595084667,903.2211249577813
req-000024,qwen2.5:1.5b-instruct,ollama,378,64,1,311.76954199327156,9.636038364583833,918.8399589620531,server_usage,True,,21080.39862505393,21999.238584015984,21080.39516705321,21080.39862505393,0.0034580007195472717,918.8434169627726
req-000025,qwen2.5:1.5b-instruct,ollama,378,64,1,309.0802499791607,9.565052253911125,911.6785419755615,server_usage,True,,21999.367792042904,22911.046334018465,21999.36462502228,21999.367792042904,0.003167020622640848,911.6817089961842
req-000026,qwen2.5:1.5b-instruct,ollama,379,64,1,301.6840839991346,9.558773143143053,903.886792017147,server_usage,True,,22911.16520902142,23815.052001038566,22911.162042000797,22911.16520902142,0.003167020622640848,903.8899590377696
req-000027,qwen2.5:1.5b-instruct,ollama,375,64,1,308.497125050053,9.373224206409224,899.0102500538342,server_usage,True,,23815.213459020015,24714.22370907385,23815.210417029448,23815.213459020015,0.00304199056699872,899.0132920444012
req-000028,qwen2.5:1.5b-instruct,ollama,380,64,1,325.46795799862593,9.376530428343113,916.189374984242,server_usage,True,,24714.31766700698,25630.507041991223,24714.315250050277,24714.31766700698,0.002416956704109907,916.1917919409461
req-000029,qwen2.5:1.5b-instruct,ollama,378,64,1,304.811125039123,9.379343253501233,895.7097500097007,server_usage,True,,25630.571375018917,26526.281125028618,25630.56995900115,25630.571375018917,0.0014160177670419216,895.7111660274677
req-000030,qwen2.5:1.5b-instruct,ollama,378,64,1,310.9820419922471,9.527391539738765,911.2077089957893,server_usage,True,,26526.39720903244,27437.604918028228,26526.394042011816,26526.39720903244,0.003167020622640848,911.2108760164119
req-000031,qwen2.5:1.5b-instruct,ollama,377,64,1,300.2240000059828,9.505455682445909,899.0677080000751,server_usage,True,,27437.721459020395,28336.78916702047,27437.71829205798,27437.721459020395,0.0031669624149799347,899.07087496249
req-000032,qwen2.5:1.5b-instruct,ollama,378,64,1,299.65154197998345,9.717447746042458,911.8507499806583,server_usage,True,,28336.903542047366,29248.754292028025,28336.9004590204,28336.903542047366,0.0030830269679427147,911.8538330076262
