request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,2,331.25079196179286,10.511486111060968,993.4744169586338,server_usage,True,,0.08591602090746164,993.5603329795413,0.08491601329296827,0.08591602090746164,0.00100000761449337,993.4754169662483
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,2,1316.827500006184,13.912248015884192,2193.299125006888,server_usage,True,,0.21550001110881567,2193.514625017997,0.21470803767442703,0.21550001110881567,0.0007919734343886375,2193.2999169803225
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,2,1550.4579999833368,17.256812158314187,2637.6371659571305,server_usage,True,,993.6756659881212,3631.3128319452517,993.6712080379948,993.6756659881212,0.004457950126379728,2637.641623907257
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,2,1768.978165986482,12.009545634981126,2525.579540990293,server_usage,True,,2193.584499997087,4719.16404098738,2193.583041022066,2193.584499997087,0.0014589750207960606,2525.580999965314
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,2,1749.6403750265017,10.473664682765033,2409.481250040699,server_usage,True,,3631.4534160192125,6040.934666059911,3631.4489580108784,3631.4534160192125,0.004458008334040642,2409.485708049033
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,2,1854.2921670014039,9.598086635205185,2458.9716250193305,server_usage,True,,4719.250541005749,7178.22216602508,4719.248666020576,4719.250541005749,0.0018749851733446121,2458.973500004504
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,2,1576.628124981653,9.55719444420307,2178.7313749664463,server_usage,True,,6041.0261250217445,8219.75749998819,6041.024625010323,6041.0261250217445,0.001500011421740055,2178.732874977868
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,2,1365.5844169552438,9.412959651348906,1958.6008749902248,server_usage,True,,7178.36887500016,9136.969749990385,7178.354250034317,7178.36887500016,0.014624965842813253,1958.6154999560677
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,2,1235.3387500043027,9.867879635070466,1857.015167013742,server_usage,True,,8219.82666599797,10076.841833011713,8219.825499982107,8219.82666599797,0.001166015863418579,1857.0163330296054
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,2,1275.7180420449004,9.566859126881889,1878.4301670384593,server_usage,True,,9137.04741600668,11015.47758304514,9137.046208023094,9137.04741600668,0.001207983586937189,1878.4313750220463
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,2,1235.3553340071812,9.79660912731012,1852.5417090277188,server_usage,True,,10076.897541002836,11929.439250030555,10076.896250015125,10076.897541002836,0.0012909877113997936,1852.5430000154302
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,2,1232.881250034552,10.020922619058558,1864.1993750352412,server_usage,True,,11015.564083005302,12879.763458040543,11015.561332984362,11015.564083005302,0.0027500209398567677,1864.202125056181
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,2,1263.894333038479,10.234998015221208,1908.6992079974152,server_usage,True,,11929.636000015307,13838.335208012722,11929.63458300801,11929.636000015307,0.0014170072972774506,1908.7006250047125
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,2,1256.7351670004427,9.587876317608687,1860.77137500979,server_usage,True,,12879.88399999449,14740.65537500428,12879.880791006144,12879.88399999449,0.003208988346159458,1860.7745839981362
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,2,1191.8559160549194,10.013506618431872,1822.7068330161273,server_usage,True,,13838.519249984529,15661.226083000656,13838.516166026238,13838.519249984529,0.00308395829051733,1822.7099169744179
