request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,4,2046.5592500404455,11.825788348528837,2791.5839159977622,server_usage,True,,0.18387503223493695,2791.767791029997,0.181709008757025,0.18387503223493695,0.002166023477911949,2791.58608202124
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,4,4328.719082986936,11.847638889097624,5075.120333000086,server_usage,True,,0.5151670193299651,5075.635500019416,0.5142500158399343,0.5151670193299651,0.0009170034900307655,5075.121250003576
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,4,3133.87033296749,13.347229492547552,3974.7457909979858,server_usage,True,,0.6560000474564731,3975.401791045442,0.6552500417456031,0.6560000474564731,0.0007500057108700275,3974.7465410036966
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,4,507.82358297146857,18.669550270137805,1684.0052499901503,server_usage,True,,0.7947090198285878,1684.799959009979,0.7942920201458037,0.7947090198285878,0.0004169996827840805,1684.0056669898331
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,4,3775.175541988574,11.909742713979785,4525.4893329693,server_usage,True,,2791.934500040952,7317.423833010253,2791.9302090303972,2791.934500040952,0.004291010554879904,4525.493623979855
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,4,3676.6261250013486,13.943291016085634,4555.053459014744,server_usage,True,,5075.781292049214,9630.834751063958,5075.774834025651,5075.781292049214,0.006458023563027382,4555.059917038307
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,4,3683.8404159643687,11.832931222179758,4429.315082961693,server_usage,True,,3975.45920900302,8404.774291964713,3975.4575840197504,3975.45920900302,0.0016249832697212696,4429.316707944963
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,4,3735.059625003487,11.975128317273976,4489.492708991747,server_usage,True,,1684.9439590005204,6174.436667992268,1684.9409590358846,1684.9439590005204,0.0029999646358191967,4489.495708956383
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,4,3641.6767920018174,10.013226857630624,4272.510084032547,server_usage,True,,7317.760042031296,11590.270126063842,7317.7558750030585,7317.760042031296,0.004167028237134218,4272.514251060784
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,4,3208.494833961595,9.891275794149214,3831.6452089929953,server_usage,True,,9631.281000038143,13462.926209031139,9631.262042035814,9631.281000038143,0.01895800232887268,3831.664166995324
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,4,3517.905624990817,9.842541666575782,4137.985749985091,server_usage,True,,8404.83337501064,12542.81912499573,8404.8322919989,8404.83337501064,0.0010830117389559746,4137.98683299683
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,4,3770.788750029169,11.187841936517211,4475.622792029753,server_usage,True,,6174.50662504416,10650.129417073913,6174.504916998558,6174.50662504416,0.0017080456018447876,4475.624500075355
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,4,3117.8344590007327,10.56761838059636,3783.5944169783033,server_usage,True,,11590.379917004611,15373.974333982915,11590.37841699319,11590.379917004611,0.001500011421740055,3783.595916989725
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,4,3324.958917044569,13.21007009495848,4157.193333026953,server_usage,True,,13463.000167044811,17620.193500071764,13462.998542003334,13463.000167044811,0.001625041477382183,4157.19495806843
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,4,3132.7977920300327,12.20436044414306,3901.6725000110455,server_usage,True,,12542.901959037408,16444.574459048454,12542.900459025986,12542.901959037408,0.001500011421740055,3901.674000022467
req-000016,qwen2.5:1.5b-instruct,ollama,378,64,4,3115.0787500082515,10.368422618956261,3768.289375002496,server_usage,True,,10650.251375045627,14418.540750048123,10650.244459044188,10650.251375045627,0.0069160014390945435,3768.296291003935
