request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,1,303.96037496393546,10.019327381751426,935.1780000142753,server_usage,True,,0.16662501730024815,935.3446250315756,0.16425002831965685,0.16662501730024815,0.002374988980591297,935.1803750032559
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,1,279.51525000389665,10.6081230157528,947.8269999963231,server_usage,True,,935.6483340379782,1883.4753340343013,935.6383749982342,935.6483340379782,0.009959039743989706,947.8369590360671
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,1,263.3605420123786,10.586093253796063,930.2844170015305,server_usage,True,,1883.5764590185136,2813.860876020044,1883.574542007409,1883.5764590185136,0.0019170111045241356,930.286334012635
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,1,265.35679202061146,11.185097221713809,970.0179169885814,server_usage,True,,2813.928583986126,3783.9465009747073,2813.9269170351326,2813.928583986126,0.0016669509932398796,970.0195839395747
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,1,390.25237498572096,11.084440476556738,1088.5721250087954,server_usage,True,,3784.0195419848897,4872.591666993685,3784.017792029772,3784.0195419848897,0.0017499551177024841,1088.573874963913
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,1,346.7592910164967,16.968256619293243,1415.759458031971,server_usage,True,,4873.978417017497,6289.737875049468,4873.975916998461,4873.978417017497,0.002500019036233425,1415.7619580510072
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,1,327.36083399504423,11.794859126749788,1070.436958980281,server_usage,True,,6289.968124998268,7360.405083978549,6289.9564590188675,6289.968124998268,0.011665979400277138,1070.4486249596812
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,1,280.72841599350795,10.649133602985078,951.6238329815678,server_usage,True,,7360.786792007275,8312.410624988843,7360.7604170101695,7360.786792007275,0.026374997105449438,951.6502079786733
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,1,284.8644169862382,10.566550254311768,950.5570830078796,server_usage,True,,8312.547374982387,9263.104457990266,8312.545916996896,8312.547374982387,0.0014579854905605316,950.5585409933701
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,1,278.4424580167979,10.509348555748899,940.5314170289785,server_usage,True,,9263.24137498159,10203.772792010568,9263.237292005215,9263.24137498159,0.004082976374775171,940.5355000053532
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,1,286.35249997023493,10.568427253654965,952.1634169504978,server_usage,True,,10203.885584021918,11156.049000972416,10203.88270902913,10203.885584021918,0.002874992787837982,952.1662919432856
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,1,277.6508340029977,10.606677904318545,945.8715419750661,server_usage,True,,11156.12791699823,12101.999458973296,11156.126583984587,11156.12791699823,0.001333013642579317,945.8728749887086
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,1,277.0651250029914,11.093348555732518,975.9460840141401,server_usage,True,,12102.051249996293,13077.997334010433,12102.050042012706,12102.051249996293,0.001207983586937189,975.947291997727
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,1,263.7274580192752,10.348541666716633,915.6855830224231,server_usage,True,,13078.139959019609,13993.825542042032,13078.136917029042,13078.139959019609,0.00304199056699872,915.6886250129901
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,1,280.5163750308566,10.446455015520018,938.6430410086177,server_usage,True,,13993.96054202225,14932.603583030868,13993.957458995283,13993.96054202225,0.0030830269679427147,938.6461240355857
req-000016,qwen2.5:1.5b-instruct,ollama,378,64,1,264.7877500276081,10.163014555083853,905.0576669978909,server_usage,True,,14932.773250038736,15837.830917036626,14932.770291983616,14932.773250038736,0.0029580551199615,905.0606250530109
req-000017,qwen2.5:1.5b-instruct,ollama,380,64,1,271.25862502725795,9.985571427802954,900.3496249788441,server_usage,True,,15838.019124988932,16738.368749967776,15838.015333982185,15838.019124988932,0.0037910067476332188,900.3534159855917
req-000018,qwen2.5:1.5b-instruct,ollama,383,64,1,265.7029160181992,10.059689824831569,899.463374982588,server_usage,True,,16738.445000024512,17637.9083750071,16738.443750014994,16738.445000024512,0.0012500095181167126,899.4646249921061
req-000019,qwen2.5:1.5b-instruct,ollama,380,64,1,269.7271670331247,10.087949730130651,905.2680000313558,server_usage,True,,17638.02004203899,18543.288042070344,17638.016666984186,17638.02004203899,0.0033750548027455807,905.2713750861585
req-000020,qwen2.5:1.5b-instruct,ollama,380,64,1,265.04179200856015,9.847216270235737,885.4164170334116,server_usage,True,,18543.376917019486,19428.793334052898,18543.375125038438,18543.376917019486,0.0017919810488820076,885.4182090144604
req-000021,qwen2.5:1.5b-instruct,ollama,376,64,1,273.34308298304677,9.852962301386196,894.0797079703771,server_usage,True,,19428.845292015467,20322.924999985844,19428.844000038225,19428.845292015467,0.0012919772416353226,894.0809999476187
req-000022,qwen2.5:1.5b-instruct,ollama,378,64,1,271.75395796075463,9.671327381742202,881.0475830105133,server_usage,True,,20323.01291701151,21204.060500022024,20323.011542030144,20323.01291701151,0.001374981366097927,881.0489579918794
req-000023,qwen2.5:1.5b-instruct,ollama,375,64,1,273.6527500092052,10.109103173904476,910.5262499651872,server_usage,True,,21204.113958985545,22114.640208950732,21204.11279203836,21204.113958985545,0.0011669471859931946,910.5274169123732
req-000024,qwen2.5:1.5b-instruct,ollama,378,64,1,269.1813330166042,9.79366534877391,886.1822499893606,server_usage,True,,22114.692000031937,23000.874250021297,22114.690624992363,22114.692000031937,0.0013750395737588406,886.1836250289343
req-000025,qwen2.5:1.5b-instruct,ollama,378,64,1,270.9072920260951,10.244791666674057,916.3291670265608,server_usage,True,,23000.943874998484,23917.273042025045,23000.94200001331,23000.943874998484,0.0018749851733446121,916.3310420117341
req-000026,qwen2.5:1.5b-instruct,ollama,379,64,1,273.537041968666,9.712900793630748,885.4497919674031,server_usage,True,,23917.35837503802,24802.808167005423,23917.357042024378,23917.35837503802,0.001333013642579317,885.4511249810457
req-000027,qwen2.5:1.5b-instruct,ollama,375,64,1,269.14162503089756,10.465194444386436,928.448875027243,server_usage,True,,24802.878417016473,25731.327292043716,24802.876959030982,24802.878417016473,0.0014579854905605316,928.4503330127336
req-000028,qwen2.5:1.5b-instruct,ollama,380,64,1,303.6959170131013,9.727658729793298,916.538416990079,server_usage,True,,25731.43774998607,26647.97616697615,25731.43466701731,25731.43774998607,0.0030829687602818012,916.5414999588393
req-000029,qwen2.5:1.5b-instruct,ollama,378,64,1,297.1130410442129,9.969694443815758,925.2037910046056,server_usage,True,,26648.03841698449,27573.242207989097,26648.037042003125,26648.03841698449,0.001374981366097927,925.2051659859717
req-000030,qwen2.5:1.5b-instruct,ollama,378,64,1,300.7287500076927,9.965574079644053,928.5599170252681,server_usage,True,,27573.31379200332,28501.873709028587,27573.312041989993,27573.31379200332,0.0017500133253633976,928.5616670385934
req-000031,qwen2.5:1.5b-instruct,ollama,377,64,1,271.4170000399463,9.866463634858114,893.0042090360075,server_usage,True,,28501.92995899124,29394.93416802725,28501.928708981723,28501.92995899124,0.0012500095181167126,893.0054590455256
req-000032,qwen2.5:1.5b-instruct,ollama,378,64,1,275.16908396501094,9.75082274655708,889.470916998107,server_usage,True,,29394.989583990537,30284.460500988644,29394.98820900917,29394.989583990537,0.001374981366097927,889.4722919794731
