request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,8,7603.830459003802,13.172800253544535,8433.716874977108,server_usage,True,,0.08258299203589559,8433.799457969144,0.08149998029693961,0.08258299203589559,0.0010830117389559746,8433.717957988847
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,8,4190.949040988926,13.12703704775592,5017.952374997549,server_usage,True,,0.22079201880842447,5018.173167016357,0.22004201309755445,0.22079201880842447,0.0007500057108700275,5017.95312500326
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,8,1580.8609999949113,15.45078903233396,2554.2607090319507,server_usage,True,,0.3469170187599957,2554.6076260507107,0.3465000190772116,0.3469170187599957,0.0004169996827840805,2554.2611260316335
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,8,6525.117000041064,11.615318110367904,7256.882040994242,server_usage,True,,0.4456249880604446,7257.327665982302,0.44516701018437743,0.4456249880604446,0.00045797787606716156,7256.882498972118
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,8,376.9919170299545,13.482284381069125,1226.3758330373093,server_usage,True,,0.5752079887315631,1226.951041026041,0.5742919747717679,0.5752079887315631,0.0009160139597952366,1226.3767490512691
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,8,2932.8462919802405,13.805050921205076,3802.5645000161603,server_usage,True,,0.8744170190766454,3803.438917035237,0.8738749893382192,0.8744170190766454,0.0005420297384262085,3802.5650420458987
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,8,8838.413833000232,13.861089285152653,9711.662457964849,server_usage,True,,1.069249992724508,9712.731707957573,1.0688750189729035,1.069249992724508,0.00037497375160455704,9711.6628329386
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,8,5366.442124999594,13.306819443916163,6204.771749966312,server_usage,True,,1.179541985038668,6205.951291951351,1.1769999982789159,1.179541985038668,0.002541986759752035,6204.774291953072
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,8,8764.98391595669,10.105145508460405,9401.608082989696,server_usage,True,,8433.862667006906,17835.470749996603,8433.861249999609,8433.862667006906,0.0014170072972774506,9401.609499996994
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,8,8440.465749998111,10.835612429276345,9123.109333042521,server_usage,True,,5018.267082981765,14141.376416024286,5018.265749968123,5018.267082981765,0.001333013642579317,9123.110666056164
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,8,8691.890083020553,12.515281079455264,9480.352791026235,server_usage,True,,2555.7891249773093,12036.141916003544,2555.7769169681706,2555.7891249773093,0.012208009138703346,9480.364999035373
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,8,8689.084166951943,10.50831679446948,9351.10812500352,server_usage,True,,7257.398082991131,16608.50620799465,7257.39662500564,7257.398082991131,0.0014579854905605316,9351.109582989011
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,8,8848.50241598906,13.092565475889142,9673.334040970076,server_usage,True,,1227.33020799933,10900.664248969406,1227.3215829627588,1227.33020799933,0.00862503657117486,9673.342666006647
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,8,8531.503750011325,11.791356491841494,9274.359208997339,server_usage,True,,3803.6167079699226,13077.975916967262,3803.6102919722907,3803.6167079699226,0.006415997631847858,9274.36562499497
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,8,8903.873833012767,11.063734793828594,9600.889125023969,server_usage,True,,9712.813541991636,19313.702667015605,9712.812083016615,9712.813541991636,0.0014589750207960606,9600.89058399899
req-000016,qwen2.5:1.5b-instruct,ollama,378,64,8,8247.92316701496,11.229429889233812,8955.37725003669,server_usage,True,,6206.013499991968,15161.390750028659,6206.0119999805465,6206.013499991968,0.001500011421740055,8955.378750048112
req-000017,qwen2.5:1.5b-instruct,ollama,380,64,8,9104.636000003666,10.015812841066648,9735.632208990864,server_usage,True,,17835.535624995828,27571.167833986692,17835.534291982185,17835.535624995828,0.001333013642579317,9735.633542004507
req-000018,qwen2.5:1.5b-instruct,ollama,383,64,8,8969.30258400971,11.064101189803628,9666.34095896734,server_usage,True,,14141.454291995615,23807.795250962954,14141.453000018373,14141.454291995615,0.0012919772416353226,9666.34225094458
req-000019,qwen2.5:1.5b-instruct,ollama,380,64,8,8921.532124979421,10.504998666759107,9583.347040985245,server_usage,True,,12036.291458003689,21619.638498988934,12036.286042013671,12036.291458003689,0.005415990017354488,9583.352456975263
req-000020,qwen2.5:1.5b-instruct,ollama,380,64,8,8836.599458009005,13.277175936049648,9673.061541980132,server_usage,True,,16608.574707992375,26281.636249972507,16608.573374978732,16608.574707992375,0.001333013642579317,9673.062874993775
req-000021,qwen2.5:1.5b-instruct,ollama,376,64,8,9057.383125007618,10.911504634552532,9744.807916984428,server_usage,True,,10900.756499962881,20645.56441694731,10900.75525001157,10900.756499962881,0.001249951310455799,9744.809166935738
req-000022,qwen2.5:1.5b-instruct,ollama,378,64,8,8857.999207975809,12.933818127272563,9672.82974999398,server_usage,True,,13078.041333006695,22750.871083000675,13078.039832995273,13078.041333006695,0.001500011421740055,9672.831250005402
req-000023,qwen2.5:1.5b-instruct,ollama,375,64,8,8744.772582955193,10.751221556260827,9422.099540999625,server_usage,True,,19313.771250017453,28735.870791017078,19313.770000007935,19313.771250017453,0.0012500095181167126,9422.100791009143
req-000024,qwen2.5:1.5b-instruct,ollama,378,64,8,8957.802332995925,10.092997365438986,9593.661167018581,server_usage,True,,15161.45408299053,24755.115250009112,15161.452749976888,15161.45408299053,0.001333013642579317,9593.662500032224
req-000025,qwen2.5:1.5b-instruct,ollama,378,64,8,8606.213916034903,11.922479507380299,9357.330124999862,server_usage,True,,27571.241832978558,36928.57195797842,27571.239582961425,27571.241832978558,0.0022500171326100826,9357.332375016995
