request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,2,1262.26691697957,10.628998682405504,1931.8938339711167,server_usage,True,,0.11408398859202862,1932.0079179597087,0.11245900532230735,0.11408398859202862,0.0016249832697212696,1931.8954589543864
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,2,338.8515000115149,10.302504634536389,987.9092919873074,server_usage,True,,0.2632919931784272,988.1725839804858,0.2625419874675572,0.2632919931784272,0.0007500057108700275,987.9100419930182
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,2,1313.657750026323,10.389570110765774,1968.2006670045666,server_usage,True,,1932.0844170288183,3900.285084033385,1932.08295898512,1932.0844170288183,0.001458043698221445,1968.2021250482649
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,2,1260.3792079607956,10.852113095415195,1944.0623329719529,server_usage,True,,988.4319590055384,2932.4942919774912,988.4226249996573,988.4319590055384,0.009334005881100893,1944.071666977834
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,2,1262.3047909582965,10.48243982580653,1922.698499984108,server_usage,True,,3900.4184589721262,5823.116958956234,3900.4141250043176,3900.4184589721262,0.004333967808634043,1922.7028339519165
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,2,1280.6909159990028,10.64560515898472,1951.3640410150401,server_usage,True,,2932.5906250160187,4883.954666031059,2932.5892089982517,2932.5906250160187,0.0014160177670419216,1951.3654570328072
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,2,1297.4725420353934,10.388984777299422,1951.978583005257,server_usage,True,,5823.203291976824,7775.181874982081,5823.19829199696,5823.203291976824,0.004999979864805937,1951.9835829851218
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,2,1261.8376670288853,10.48937433358607,1922.6682500448078,server_usage,True,,4884.036167000886,6806.704417045694,4884.034542017616,4884.036167000886,0.0016249832697212696,1922.6698750280775
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,2,1308.2872499944642,11.117731476025213,2008.7043329840526,server_usage,True,,7775.296334002633,9784.000666986685,7775.294583989307,7775.296334002633,0.0017500133253633976,2008.706082997378
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,2,1254.4867919641547,11.142303572139806,1956.4519170089625,server_usage,True,,6806.775083998218,8763.22700100718,6806.773625023197,6806.775083998218,0.0014589750207960606,1956.4533759839833
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,2,1235.3469579829834,10.10290542820705,1871.8299999600276,server_usage,True,,9784.07154197339,11655.901541933417,9784.069542016368,9784.07154197339,0.0019999570213258266,1871.831999917049
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,2,1324.167957995087,9.955646174531134,1951.3736669905484,server_usage,True,,8763.27916700393,10714.652833994478,8763.277833990287,8763.27916700393,0.001333013642579317,1951.375000004191
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,2,1254.9917920259759,10.899195761700708,1941.6411250131205,server_usage,True,,11655.959874973632,13597.600999986753,11655.957916984335,11655.959874973632,0.0019579892978072166,1941.6430830024183
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,2,1244.6413750294596,9.957294968429894,1871.950958040543,server_usage,True,,10714.706667000428,12586.65762504097,10714.705292019062,10714.706667000428,0.001374981366097927,1871.952333021909
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,2,1320.6062500248663,12.323590603450107,2096.992458042223,server_usage,True,,13597.74787502829,15694.740333070513,13597.741917008534,13597.74787502829,0.005958019755780697,2096.998416061979
