request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,4,2154.8581669921987,10.285395508011183,2802.838083996903,server_usage,True,,0.10095903417095542,2802.939043031074,0.09975000284612179,0.10095903417095542,0.0012090313248336315,2802.839293028228
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,4,1210.0329590030015,10.72142063547665,1885.4824590380304,server_usage,True,,0.26095903012901545,1885.7434180681594,0.2602500026114285,0.26095903012901545,0.0007090275175869465,1885.483168065548
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,4,3070.67291601561,10.25116666671007,3716.4964160183445,server_usage,True,,0.38033403689041734,3716.876750055235,0.37987501127645373,0.38033403689041734,0.000459025613963604,3716.4968750439584
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,4,292.08704095799476,10.222725539712147,936.11874995986,server_usage,True,,0.5138750420883298,936.6326250019483,0.5135000101290643,0.5138750420883298,0.0003750319592654705,936.1191249918193
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,4,3035.9807499917224,11.107206349224148,3735.7347499928437,server_usage,True,,2802.9981669969857,6538.732916989829,2802.996709011495,2802.9981669969857,0.0014579854905605316,3735.7362079783343
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,4,2992.546666995622,10.809462302223972,3673.5427920357324,server_usage,True,,1885.8040840132162,5559.346876048949,1885.8024170040153,1885.8040840132162,0.001667009200900793,3673.5444590449333
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,4,3091.5095829986967,10.256135586782225,3737.646124965977,server_usage,True,,3716.9400000129826,7454.58612497896,3716.934709053021,3716.9400000129826,0.00529095996171236,3737.6514159259386
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,4,3046.876374981366,9.964496032187036,3674.6396250091493,server_usage,True,,936.7514590267092,4611.3910840358585,936.7479590000585,936.7514590267092,0.003500026650726795,3674.6431250358
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,4,3018.5964580159634,12.028109127034744,3776.3673330191523,server_usage,True,,6538.803333998658,10315.17066701781,6538.801959017292,6538.803333998658,0.001374981366097927,3776.3687080005184
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,4,3092.553124995902,10.08552380944676,3727.941124991048,server_usage,True,,5559.462292003445,9287.403416994493,5559.460875054356,5559.462292003445,0.001416949089616537,3727.9425419401377
